event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session,revenue
2019-11-01 00:41:25+00:00,purchase,4100346,2053013561218695907,,sony,330,521793571,4daa12d3-bc19-4f01-8082-6e69606a6316,330
2019-11-01 00:42:43+00:00,purchase,1005256,2053013555631882655,electronics.smartphone,xiaomi,130,518679035,2aaf6f11-bb58-48fd-b7b2-45307f0b0bae,130
2019-11-01 00:43:12+00:00,purchase,1004870,2053013555631882655,electronics.smartphone,samsung,200,554096532,9f7dd908-35f2-45da-9c3f-63a19cf47bb3,200
2019-11-01 00:43:43+00:00,purchase,1005105,2053013555631882655,electronics.smartphone,apple,125,566285050,27f5d428-f19a-4f58-858c-b3147c9e86df,125
2019-11-01 00:44:06+00:00,purchase,1005112,2053013555631882655,electronics.smartphone,apple,160,551678170,3c403ca1-1a0d-413b-aa45-8551aa4e2920,160
2019-11-01 00:44:24+00:00,purchase,1004870,2053013555631882655,electronics.smartphone,samsung,200,554096532,9f7dd908-35f2-45da-9c3f-63a19cf47bb3,200
2019-11-01 00:44:37+00:00,purchase,12703015,2053013553559896355,,cordiant,175,531848065,70d073c8-67a9-d890-26ab-3b6bbc5d24fe,175
2019-11-01 00:45:47+00:00,purchase,1004833,2053013555631882655,electronics.smartphone,samsung,265,554096532,9f7dd908-35f2-45da-9c3f-63a19cf47bb3,265
2019-11-01 00:46:29+00:00,purchase,4804295,2053013554658804075,electronics.audio.headphone,xiaomi,325,566285490,aa91524e-72be-4345-b0dd-a3f6a3f98731,325
2019-11-01 00:48:18+00:00,purchase,4500770,2053013563877884791,appliances.kitchen.hob,greta,200,566285354,939bbd57-84e0-4bfb-b46e-085bcf4143bb,200
2019-11-01 00:49:33+00:00,purchase,13201206,2053013557192163841,furniture.bedroom.bed,,130,560134869,a48a30b6-61b5-4816-8fe6-d9e69b65aed4,130
2019-11-01 00:49:35+00:00,purchase,12709713,2053013553559896355,,hifly,165,553814693,fbc52bd2-c997-4d77-9f23-9e667237b888,165
2019-11-01 00:50:35+00:00,purchase,3700338,2053013565983425517,appliances.environment.vacuum,samsung,290,539952572,4b219716-b606-427e-96ab-9a481b605348,290
2019-11-01 00:51:01+00:00,purchase,1004496,2053013555631882655,electronics.smartphone,meizu,330,535751928,7435772c-d863-44ac-b490-334262ae2fe6,330
2019-11-01 00:51:24+00:00,purchase,1004750,2053013555631882655,electronics.smartphone,samsung,100,566095126,f3172b15-a5e1-4e8c-b0b7-aef528841dc7,100
2019-11-01 00:52:48+00:00,purchase,13201206,2053013557192163841,furniture.bedroom.bed,,130,560134869,a48a30b6-61b5-4816-8fe6-d9e69b65aed4,130
2019-11-01 00:53:00+00:00,purchase,5700785,2053013553970938175,auto.accessories.player,,275,522560074,3c33f26c-1043-4cc6-990f-674ebf7bdc4f,275
2019-11-01 00:53:10+00:00,purchase,1003983,2053013555631882655,electronics.smartphone,huawei,265,556958704,aa8b3dd7-ae88-4fe6-adab-4de1c852dccd,265
2019-11-01 00:53:10+00:00,purchase,1005105,2053013555631882655,electronics.smartphone,apple,125,536267449,2ec3f637-ba50-46d1-89ae-c9dfe5012920,125
2019-11-01 00:55:44+00:00,purchase,27201013,2053013564154708873,,dsquared,165,522717744,a10ba4f8-26bb-4ecf-8f71-6626711bfd2f,165
2019-11-01 00:55:52+00:00,purchase,1004856,2053013555631882655,electronics.smartphone,samsung,130,534820779,2d549977-4b06-409d-b47d-2563359a5d7f,130
2019-11-01 00:56:00+00:00,purchase,4804056,2053013554658804075,electronics.audio.headphone,apple,130,538178630,b20453cb-ee7f-4352-b403-249944924a05,130
2019-11-01 00:56:03+00:00,purchase,13201002,2053013557192163841,furniture.bedroom.bed,stendmebel,110,512878430,b0d15b36-5ec3-44e3-8377-9ce6de5bd60c,110
2019-11-01 00:56:31+00:00,purchase,12700931,2053013553559896355,,nokian,255,515167299,64b0e5dc-da5b-4d9a-aa15-e3984dd8600d,255
2019-11-01 00:57:05+00:00,purchase,1004835,2053013555631882655,electronics.smartphone,samsung,275,516359563,90946cd2-451f-43f2-aa16-dddfb70c3d1f,275
2019-11-01 00:57:26+00:00,purchase,4804056,2053013554658804075,electronics.audio.headphone,apple,130,538178630,b20453cb-ee7f-4352-b403-249944924a05,130
2019-11-01 00:57:40+00:00,purchase,4803977,2053013554658804075,electronics.audio.headphone,samsung,235,566281421,9231740b-24a7-4636-96a1-63da2808410d,235
2019-11-01 00:57:48+00:00,purchase,1004246,2053013555631882655,electronics.smartphone,apple,330,521734903,dee20e5e-07ed-45f7-89f4-fa3bb2dc751b,330
2019-11-01 00:58:12+00:00,purchase,1005235,2053013555631882655,electronics.smartphone,oppo,275,537466008,5d45e293-33c0-495a-91e6-85d4d4e063bc,275
2019-11-01 00:58:25+00:00,purchase,1004249,2053013555631882655,electronics.smartphone,apple,345,562783832,e36c1912-3cec-4c74-a406-acff265cc0e9,345
2019-11-01 00:59:05+00:00,purchase,1004856,2053013555631882655,electronics.smartphone,samsung,130,543272936,cf58a040-f8b2-40c2-9b4f-0b9122f834ce,130
2019-11-01 00:59:21+00:00,purchase,4804409,2053013554658804075,electronics.audio.headphone,elari,145,555031859,6180b31b-6c9e-40b0-a87b-59a19e3d6856,145
2019-11-01 00:59:42+00:00,purchase,5300343,2053013563173241677,,redmond,315,514758545,8d994ccc-9541-4c32-aeb1-b1ba9a6006c9,315
2019-11-01 01:00:06+00:00,purchase,1005235,2053013555631882655,electronics.smartphone,oppo,275,537466008,5d45e293-33c0-495a-91e6-85d4d4e063bc,275
2019-11-01 01:00:38+00:00,purchase,1004873,2053013555631882655,electronics.smartphone,samsung,215,547327701,e664abd7-56df-4e5c-b8d6-77b54f695a89,215
2019-11-01 01:01:04+00:00,purchase,1005235,2053013555631882655,electronics.smartphone,oppo,275,537466008,5d45e293-33c0-495a-91e6-85d4d4e063bc,275
2019-11-01 01:01:40+00:00,purchase,11800033,2053013561243861733,,sony,265,513590675,295b71d7-10e2-4358-98b5-a2fec6feb8a7,265
2019-11-01 01:02:16+00:00,purchase,22700078,2053013556168753601,,stels,240,563362800,6ef9ffd8-3e27-4a4e-9487-312e6c1f4604,240
2019-11-01 01:02:47+00:00,purchase,27900017,2053013564741911467,,tuka,185,512455622,21b268df-156b-4b08-be2d-55ab01211c9c,185
2019-11-01 01:02:57+00:00,purchase,11800030,2053013561243861733,,sony,250,513590675,295b71d7-10e2-4358-98b5-a2fec6feb8a7,250
2019-11-01 01:03:09+00:00,purchase,12709178,2053013553559896355,,triangle,240,518771094,3cd37747-c9a6-4297-a6e0-b821395aed74,240
2019-11-01 01:03:37+00:00,purchase,26403418,2053013563651392361,,,190,543351869,fb3bc541-8b8a-47a4-9571-c245b874d3f8,190
2019-11-01 01:03:41+00:00,purchase,4804056,2053013554658804075,electronics.audio.headphone,apple,130,538178630,9cf447dc-7aa8-47f2-8c3b-44318cf5608a,130
2019-11-01 01:03:41+00:00,purchase,12703498,2053013553559896355,,cordiant,340,529712266,3eff7605-0ad5-4431-9c88-0206d1a6e83b,340
2019-11-01 01:03:56+00:00,purchase,1005115,2053013555631882655,electronics.smartphone,apple,175,515851023,fc132eed-8c55-43e1-9e01-3cd0aef15edc,175
2019-11-01 01:04:00+00:00,purchase,1005115,2053013555631882655,electronics.smartphone,apple,175,566286947,b86c0313-d0cd-4222-888f-2ed03a1d697f,175
2019-11-01 01:04:25+00:00,purchase,2601106,2053013563970159485,,gefest,130,533189542,eb73b363-5db1-4c43-b561-96805e3813cb,130
2019-11-01 01:06:16+00:00,purchase,1005160,2053013555631882655,electronics.smartphone,xiaomi,150,542326339,fefb9416-8a0f-4bb7-a4b6-8e0df592d2f8,150
2019-11-01 01:06:41+00:00,purchase,1307307,2053013558920217191,computers.notebook,hp,135,529786619,8d39bc6b-0735-4b2e-b696-e2f04b586d56,135
2019-11-01 01:06:49+00:00,purchase,15100383,2053013557024391671,,,265,566285050,0d12de86-603c-4705-9018-6c70432e13ed,265
2019-11-01 01:06:52+00:00,purchase,1005105,2053013555631882655,electronics.smartphone,apple,125,515750054,630f09ef-2ecd-49a7-bd6a-1efad9657d74,125
2019-11-01 01:07:15+00:00,purchase,12704667,2053013553559896355,,nokian,185,512474890,4cf81a04-ef5d-4ced-a597-5aefd0f5729e,185
2019-11-01 01:08:25+00:00,purchase,1005115,2053013555631882655,electronics.smartphone,apple,175,515750054,630f09ef-2ecd-49a7-bd6a-1efad9657d74,175
2019-11-01 01:26:37+00:00,purchase,5100816,2053013553375346967,,xiaomi,180,513277928,4d4ee21f-d740-4a76-8ca6-9d8090c04542,180
2019-11-01 01:27:15+00:00,purchase,1004870,2053013555631882655,electronics.smartphone,samsung,200,566289907,d6f225fa-6594-4679-ae68-d410622833cd,200
2019-11-01 01:27:30+00:00,purchase,1004856,2053013555631882655,electronics.smartphone,samsung,130,557016168,252eab53-ca64-4672-9772-af163d42042b,130
2019-11-01 01:29:17+00:00,purchase,1002629,2053013555631882655,electronics.smartphone,apple,245,566289907,d6f225fa-6594-4679-ae68-d410622833cd,245
2019-11-01 01:29:48+00:00,purchase,4804056,2053013554658804075,electronics.audio.headphone,apple,130,513170847,00dae094-c4a3-43d3-8088-b2312b75de29,130
2019-11-01 01:30:03+00:00,purchase,1002544,2053013555631882655,electronics.smartphone,apple,320,513155877,7f43c8dc-ac6c-4ba0-91a1-f18efa1a4bdd,320
2019-11-01 01:30:12+00:00,purchase,5100570,2053013553341792533,electronics.clocks,apple,200,512894714,0b3217fe-f7d0-4bb8-9b0d-f2a5d5b6caa0,200
2019-11-01 01:30:15+00:00,purchase,1002629,2053013555631882655,electronics.smartphone,apple,245,518913698,afa1ad69-55bb-4ef8-9d02-6648596ca5ec,245
2019-11-01 01:30:16+00:00,purchase,1005115,2053013555631882655,electronics.smartphone,apple,175,547438875,28a78284-0ff0-4d4f-9ed2-87d96b31204c,175
2019-11-01 01:30:55+00:00,purchase,1004856,2053013555631882655,electronics.smartphone,samsung,130,566289937,f8616b72-c75f-4353-8816-01a055e5cb7b,130
2019-11-01 01:31:01+00:00,purchase,3100888,2053013555262783879,appliances.kitchen.blender,scarlett,290,513993755,ebcc123d-b2e9-4f9c-86bd-03394f9d3798,290
2019-11-01 01:31:02+00:00,purchase,17301496,2053013553853497655,,chanel,330,566289907,d6f225fa-6594-4679-ae68-d410622833cd,330
2019-11-01 01:31:45+00:00,purchase,2500859,2053013564003713919,appliances.kitchen.oven,asel,145,556735076,f3cf338c-f47b-4e57-b1ca-b5b1ddf1a39e,145
2019-11-01 01:31:45+00:00,purchase,4802159,2053013554658804075,electronics.audio.headphone,jbl,145,566290767,8c8c5311-3385-47c1-9a98-ef0017671409,145
2019-11-01 01:31:51+00:00,purchase,1003306,2053013555631882655,electronics.smartphone,apple,130,514020126,24501f82-5ec3-40d3-80ce-68733bbf9139,130
2019-11-01 01:33:34+00:00,purchase,6701013,2053013554247762257,computers.components.videocards,asrock,165,513657489,54001106-2532-465f-ac2c-dcad73498105,165
2019-11-01 01:34:12+00:00,purchase,21405495,2053013561579406073,electronics.clocks,,325,513849803,cd0093c8-5894-46f9-aeab-35d5934912f5,325
2019-11-01 01:34:45+00:00,purchase,3900002,2053013552326770905,appliances.environment.water_heater,ariston,110,551495812,81eb5209-3845-4a74-be01-37db6aa4fb9f,110
2019-11-01 01:36:00+00:00,purchase,1004249,2053013555631882655,electronics.smartphone,apple,345,515884433,393170a0-822e-4cc6-9749-3b27030a4f08,345
2019-11-01 01:36:02+00:00,purchase,1801551,2053013554415534427,electronics.video.tv,haier,105,515521256,e6b011e0-9790-4cb9-9c13-f283df44ff72,105
2019-11-01 01:36:30+00:00,purchase,17200651,2053013559792632471,furniture.living_room.sofa,,105,566176246,7dc3559c-94d0-4f19-bbf0-acf2d4659b3a,105
2019-11-01 01:37:56+00:00,purchase,1004723,2053013555631882655,electronics.smartphone,huawei,215,534771396,f52dd0d3-bf1b-4fd5-b8d6-b75efcbe7b8e,215
2019-11-01 01:37:57+00:00,purchase,3700837,2053013565983425517,appliances.environment.vacuum,arnica,285,535080594,fc6f2ede-6264-4c7e-8bb6-815baa7a3e17,285
2019-11-01 01:38:50+00:00,purchase,4804056,2053013554658804075,electronics.audio.headphone,apple,130,545485472,c433783a-323d-4b6a-a447-ef5d35d08001,130
2019-11-01 01:38:51+00:00,purchase,1004870,2053013555631882655,electronics.smartphone,samsung,200,519456951,f2136bd5-a50d-4e05-8a90-27b288065459,200
2019-11-01 01:39:05+00:00,purchase,26201661,2053013563693335403,,,155,540247266,1cf44b30-9f25-4fec-bbf0-bdc605121581,155
2019-11-01 01:39:32+00:00,purchase,1005105,2053013555631882655,electronics.smartphone,apple,125,518166789,04c4d3cf-66ce-4793-94f2-e58f02b03a73,125
2019-11-01 01:39:41+00:00,purchase,3600163,2053013563810775923,appliances.kitchen.washer,indesit,165,548450778,7ec3e568-90dc-4fb5-93d8-fcdafd917ce8,165
2019-11-01 01:39:44+00:00,purchase,1004857,2053013555631882655,electronics.smartphone,samsung,135,514405513,782d888f-6e1c-4bb6-aeab-18d3a4cc62f2,135
2019-11-01 01:39:59+00:00,purchase,1004856,2053013555631882655,electronics.smartphone,samsung,130,549527991,5bfe0da2-8dda-496a-9967-c0aeb120d536,130
2019-11-01 01:40:36+00:00,purchase,52900057,2139150089359196199,accessories.bag,stayer,135,559972189,7661b900-e716-4057-a26e-eddef9506fe8,135
2019-11-01 01:40:42+00:00,purchase,21400508,2053013561579406073,electronics.clocks,casio,140,512610490,c42a8e44-0bb6-43bb-98c7-c2f6403c1e6e,140
2019-11-01 01:42:01+00:00,purchase,5100343,2053013553341792533,electronics.clocks,apple,315,561842648,bfa1400d-f347-4ffe-9ed0-6f3be51f0bac,315
2019-11-01 01:42:14+00:00,purchase,12718506,2053013553559896355,,triangle,130,515147590,3b75587f-3480-45f0-9d21-2c472216d96f,130
2019-11-01 01:42:46+00:00,purchase,5300157,2053013563173241677,,philips,135,524033149,ef1a8d15-2324-42cd-9358-6f61c8c5c21a,135
2019-11-01 01:42:46+00:00,purchase,3700338,2053013565983425517,appliances.environment.vacuum,samsung,290,558439221,8693715b-2f32-462b-b40b-5535eb559b25,290
2019-11-01 01:43:01+00:00,purchase,22700524,2053013556168753601,,force,220,526125083,18b8eb36-5ea5-4916-8b26-505f0c3d6bba,220
2019-11-01 01:43:51+00:00,purchase,1005115,2053013555631882655,electronics.smartphone,apple,175,525144465,089899ce-9886-4057-98ac-5bd25cb6e964,175
2019-11-01 01:45:01+00:00,purchase,13902420,2053013557343158789,construction.components.faucet,decoroom,200,514119888,793320f2-aab3-4696-b249-94908ec73971,200
2019-11-01 01:45:15+00:00,purchase,3600661,2053013563810775923,appliances.kitchen.washer,samsung,155,521339065,7b660e03-cc09-45d2-a69e-c59509c4ac12,155
